"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S920","2019-07-12 00:00:00","98.000","289.000","0.700","24.600","0.890","995.700","-99.000","2.000","-99.000","-99.000","-99.000","31.600","","24.400",""
"C0AH80","2019-07-12 00:00:00","68.000","0.000","0.000","25.000","0.940","1002.500","-99.000","0.500","-99.000","-99.000","-99.000","33.700","","25.000",""
"C0K250","2019-07-12 00:00:00","12.000","188.000","2.000","26.600","0.870","1010.000","-99.000","3.500","-99.000","-99.000","-99.000","32.200","","25.200",""
"C0I410","2019-07-12 00:00:00","180.000","0.000","0.000","26.600","0.860","990.900","-99.000","0.500","-99.000","-99.000","-99.000","32.400","","24.500",""
"C0M410","2019-07-12 00:00:00","245.000","359.000","1.000","23.700","1.000","981.200","-99.000","3.500","-99.000","-99.000","-99.000","30.700","","22.900",""
"C0F9Z0","2019-07-12 00:00:00","3193.000","191.000","1.900","9.100","0.910","699.200","-99.000","2.000","-99.000","-99.000","-99.000","15.100","","8.900",""
"C0G810","2019-07-12 00:00:00","26.000","183.000","0.900","27.100","-99.000","1006.300","-99.000","2.000","-99.000","-99.000","-99.000","32.000","","25.800",""
"C0U650","2019-07-12 00:00:00","442.000","52.000","0.500","25.200","0.790","961.800","-99.000","23.000","-99.000","-99.000","-99.000","33.000","","23.300",""
"C0D660","2019-07-12 00:00:00","65.000","197.000","1.300","28.400","0.740","1002.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","27.000",""
"C0E540","2019-07-12 00:00:00","32.000","218.000","1.200","27.500","0.830","1006.800","-99.000","6.000","-99.000","-99.000","-99.000","33.800","","25.300",""
"C0W170","2019-07-12 00:00:00","42.000","176.000","3.000","25.400","0.940","1004.200","-99.000","7.500","-99.000","-99.000","-99.000","26.900","","22.900",""
"C0Z150","2019-07-12 00:00:00","27.000","222.000","1.700","26.500","0.960","1008.700","-99.000","3.000","-99.000","-99.000","-99.000","31.700","","26.100",""
"C0S840","2019-07-12 00:00:00","22.000","262.000","1.300","24.700","0.960","1010.600","-99.000","17.500","-99.000","-99.000","-99.000","31.800","","24.000",""
"C0H9A0","2019-07-12 00:00:00","1595.000","279.000","1.000","17.500","0.990","847.900","-99.000","1.500","-99.000","-99.000","-99.000","24.300","","16.800",""
"C0Z300","2019-07-12 00:00:00","182.000","0.000","0.000","26.400","1.000","991.900","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","25.500",""
"C0G730","2019-07-12 00:00:00","27.000","185.000","3.100","27.100","0.930","1008.800","-99.000","2.500","-99.000","-99.000","-99.000","31.400","","25.500",""
"C0V730","2019-07-12 00:00:00","33.000","77.000","1.000","25.600","0.990","1009.100","-99.000","88.500","-99.000","-99.000","-99.000","30.000","","24.900",""
"C0SA00","2019-07-12 00:00:00","466.000","298.000","2.300","21.600","0.990","959.600","-99.000","16.000","-99.000","-99.000","-99.000","29.400","","21.400",""
"C0S900","2019-07-12 00:00:00","27.000","260.000","3.400","28.700","0.780","1010.000","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","27.400",""
"C0C480","2019-07-12 00:00:00","105.000","0.000","0.000","28.600","0.780","998.400","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","28.000",""
"C0V720","2019-07-12 00:00:00","15.000","57.000","1.400","26.100","0.980","-99.000","-99.000","71.000","-99.000","-99.000","-99.000","29.900","","25.100",""
"C0UA60","2019-07-12 00:00:00","566.000","170.000","2.200","23.300","0.950","948.600","-99.000","1.000","-99.000","-99.000","-99.000","31.900","","23.200",""
"C0D540","2019-07-12 00:00:00","227.000","0.000","0.000","25.200","0.930","985.900","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","24.100",""
"C0K420","2019-07-12 00:00:00","42.000","216.000","2.000","26.800","0.880","1006.400","-99.000","10.500","-99.000","-99.000","-99.000","31.100","","24.800",""
"C0Z180","2019-07-12 00:00:00","34.000","0.000","0.200","26.300","0.870","1007.000","-99.000","2.500","-99.000","-99.000","-99.000","31.300","","26.100",""
"C0AD10","2019-07-12 00:00:00","27.000","177.000","0.800","28.400","0.860","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","28.000",""
"C0M720","2019-07-12 00:00:00","225.000","86.000","0.600","26.300","0.800","986.300","-99.000","0.500","-99.000","-99.000","-99.000","32.100","","25.100",""
"C0V450","2019-07-12 00:00:00","51.000","99.000","1.200","24.600","0.990","1006.200","-99.000","70.000","-99.000","-99.000","-99.000","28.600","","24.200",""
"C0R280","2019-07-12 00:00:00","242.000","282.000","0.800","24.400","-99.000","984.300","-99.000","135.000","-99.000","-99.000","-99.000","29.700","","23.100",""
"C0E610","2019-07-12 00:00:00","850.000","0.000","0.000","22.900","0.770","918.900","-99.000","4.500","-99.000","-99.000","-99.000","26.700","","21.300",""
"C0V610","2019-07-12 00:00:00","22.000","112.000","1.700","26.200","1.000","1009.500","-99.000","42.000","-99.000","-99.000","-99.000","29.200","","24.400",""
"C0Z310","2019-07-12 00:00:00","59.000","339.000","1.200","26.000","1.000","1004.700","-99.000","53.500","-99.000","-99.000","-99.000","31.700","","25.600",""
"C0S700","2019-07-12 00:00:00","507.000","0.000","0.000","22.600","0.930","956.400","-99.000","1.000","-99.000","-99.000","-99.000","29.200","","22.500",""
"C0T9G0","2019-07-12 00:00:00","605.000","0.000","0.000","23.100","0.990","946.900","-99.000","22.500","-99.000","-99.000","-99.000","30.800","","22.800",""
"C0U520","2019-07-12 00:00:00","517.000","235.000","1.600","22.900","0.990","955.600","-99.000","38.000","-99.000","-99.000","-99.000","34.000","","22.600",""
